No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
36835,WISEA J031207.84-082308.8,48.03269,-8.3858,G,,,,21.8g,0.0,0,0,27,2,0,4,0
36836,WISEA J031207.86-073732.8,48.03277,-7.6258,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36837,SDSS J031207.88-073640.6,48.03286,-7.61129,G,,,,22.7g,0.0,0,0,15,1,0,4,0
36838,SDSS J031207.89-071354.6,48.03288,-7.23185,*,,,,23.0g,0.0,0,0,9,2,0,4,0
36839,WISEA J031207.89-080906.9,48.03288,-8.15194,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36840,SDSS J031207.90-074250.3,48.03294,-7.71399,G,,,,21.3g,0.0,0,0,19,2,0,4,0
36841,WISEA J031207.91-071506.8,48.03299,-7.25191,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36842,WISEA J031207.91-075219.7,48.03299,-7.87216,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36843,WISEA J031207.92-073349.1,48.033,-7.56365,G,,,,21.5g,0.0,0,0,27,2,0,3,0
36844,SDSS J031207.95-080213.9,48.03315,-8.0372,G,,,,21.2g,0.0,0,0,15,1,0,4,0
36845,SDSS J031207.97-073248.6,48.03324,-7.54686,*,,,,24.3g,0.0,0,0,5,1,0,4,0
